starttime,TotalRent_A
2018-01-01,13
2018-01-02,61
2018-01-03,51
2018-01-04,3
2018-01-05,9
2018-01-06,4
2018-01-07,10
2018-01-08,40
2018-01-09,56
2018-01-10,72
2018-01-11,86
2018-01-12,67
2018-01-13,16
2018-01-14,28
2018-01-15,41
2018-01-16,63
2018-01-17,80
2018-01-18,72
2018-01-19,83
2018-01-20,50
2018-01-21,44
2018-01-22,90
2018-01-23,78
2018-01-24,99
2018-01-25,92
2018-01-26,89
2018-01-27,50
2018-01-28,26
2018-01-29,103
2018-01-30,71
2018-01-31,69
2018-02-01,82
2018-02-02,67
2018-02-03,28
2018-02-04,33
2018-02-05,88
2018-02-06,94
2018-02-07,52
2018-02-08,93
2018-02-09,96
2018-02-10,25
2018-02-11,16
2018-02-12,108
2018-02-13,103
2018-02-14,95
2018-02-15,116
2018-02-16,75
2018-02-17,37
2018-02-18,30
2018-02-19,43
2018-02-20,111
2018-02-21,131
2018-02-22,69
2018-02-23,74
2018-02-24,32
2018-02-25,23
2018-02-26,122
2018-02-27,115
2018-02-28,116
2018-03-01,128
2018-03-02,15
2018-03-03,31
2018-03-04,34
2018-03-05,109
2018-03-06,102
2018-03-07,4
2018-03-08,40
2018-03-09,73
2018-03-10,36
2018-03-11,35
2018-03-12,113
2018-03-13,99
2018-03-14,108
2018-03-15,99
2018-03-16,81
2018-03-17,37
2018-03-18,47
2018-03-19,126
2018-03-20,73
2018-03-21,3
2018-03-22,42
2018-03-23,121
2018-03-24,49
2018-03-25,30
2018-03-26,126
2018-03-27,118
2018-03-28,106
2018-03-29,124
2018-03-30,73
2018-03-31,57
2018-04-01,41
2018-04-02,79
2018-04-03,67
2018-04-04,94
2018-04-05,96
2018-04-06,93
2018-04-07,57
2018-04-08,44
2018-04-09,103
2018-04-10,131
2018-04-11,121
2018-04-12,130
2018-04-13,116
2018-04-14,90
2018-04-15,35
2018-04-16,91
2018-04-17,124
2018-04-18,117
2018-04-19,113
2018-04-20,109
2018-04-21,86
2018-04-22,97
2018-04-23,150
2018-04-24,126
2018-04-25,97
2018-04-26,149
2018-04-27,107
2018-04-28,48
2018-04-29,71
2018-04-30,94
2018-05-01,149
2018-05-02,158
2018-05-03,147
2018-05-04,137
2018-05-05,78
2018-05-06,76
2018-05-07,156
2018-05-08,160
2018-05-09,145
2018-05-10,130
2018-05-11,135
2018-05-12,60
2018-05-13,37
2018-05-14,136
2018-05-15,106
2018-05-16,67
2018-05-17,112
2018-05-18,138
2018-05-19,25
2018-05-20,77
2018-05-21,153
2018-05-22,114
2018-05-23,168
2018-05-24,152
2018-05-25,150
2018-05-26,66
2018-05-27,42
2018-05-28,62
2018-05-29,148
2018-05-30,186
2018-05-31,151
2018-06-01,140
2018-06-02,71
2018-06-03,106
2018-06-04,158
2018-06-05,187
2018-06-06,195
2018-06-07,168
2018-06-08,161
2018-06-09,77
2018-06-10,72
2018-06-11,181
2018-06-12,181
2018-06-13,172
2018-06-14,183
2018-06-15,152
2018-06-16,96
2018-06-17,88
2018-06-18,155
2018-06-19,198
2018-06-20,173
2018-06-21,173
2018-06-22,159
2018-06-23,90
2018-06-24,89
2018-06-25,188
2018-06-26,204
2018-06-27,170
2018-06-28,146
2018-06-29,153
2018-06-30,89
2018-07-01,16
2018-07-02,208
2018-07-03,127
2018-07-04,81
2018-07-05,146
2018-07-06,139
2018-07-07,89
2018-07-08,81
2018-07-09,211
2018-07-10,183
2018-07-11,186
2018-07-12,178
2018-07-13,180
2018-07-14,94
2018-07-15,95
2018-07-16,187
2018-07-17,124
2018-07-18,177
2018-07-19,186
2018-07-20,180
2018-07-21,105
2018-07-22,67
2018-07-23,158
2018-07-24,183
2018-07-25,118
2018-07-26,201
2018-07-27,108
2018-07-28,78
2018-07-29,82
2018-07-30,197
2018-07-31,190
2018-08-01,197
2018-08-02,190
2018-08-03,170
2018-08-04,72
2018-08-05,96
2018-08-06,207
2018-08-07,185
2018-08-08,157
2018-08-09,199
2018-08-10,167
2018-08-11,55
2018-08-12,88
2018-08-13,167
2018-08-14,187
2018-08-15,210
2018-08-16,190
2018-08-17,162
2018-08-18,76
2018-08-19,70
2018-08-20,197
2018-08-21,196
2018-08-22,193
2018-08-23,181
2018-08-24,158
2018-08-25,105
2018-08-26,79
2018-08-27,180
2018-08-28,195
2018-08-29,180
2018-08-30,182
2018-08-31,115
2018-09-01,74
2018-09-02,74
2018-09-03,97
2018-09-04,167
2018-09-05,192
2018-09-06,184
2018-09-07,196
2018-09-08,73
2018-09-09,32
2018-09-10,115
2018-09-11,186
2018-09-12,144
2018-09-13,184
2018-09-14,180
2018-09-15,107
2018-09-16,101
2018-09-17,207
2018-09-18,160
2018-09-19,223
2018-09-20,204
2018-09-21,194
2018-09-22,94
2018-09-23,88
2018-09-24,208
2018-09-25,76
2018-09-26,245
2018-09-27,199
2018-09-28,160
2018-09-29,93
2018-09-30,112
2018-10-01,168
2018-10-02,209
2018-10-03,208
2018-10-04,215
2018-10-05,182
2018-10-06,75
2018-10-07,89
2018-10-08,168
2018-10-09,223
2018-10-10,211
2018-10-11,120
2018-10-12,193
2018-10-13,80
2018-10-14,68
2018-10-15,169
2018-10-16,208
2018-10-17,200
2018-10-18,185
2018-10-19,179
2018-10-20,91
2018-10-21,69
2018-10-22,136
2018-10-23,207
2018-10-24,213
2018-10-25,169
2018-10-26,166
2018-10-27,19
2018-10-28,54
2018-10-29,153
2018-10-30,160
2018-10-31,165
2018-11-01,198
2018-11-02,176
2018-11-03,65
2018-11-04,66
2018-11-05,126
2018-11-06,144
2018-11-07,216
2018-11-08,169
2018-11-09,85
2018-11-10,70
2018-11-11,67
2018-11-12,140
2018-11-13,115
2018-11-14,167
2018-11-15,33
2018-11-16,101
2018-11-17,68
2018-11-18,49
2018-11-19,159
2018-11-20,129
2018-11-21,96
2018-11-22,26
2018-11-23,32
2018-11-24,24
2018-11-25,48
2018-11-26,72
2018-11-27,159
2018-11-28,144
2018-11-29,146
2018-11-30,123
2018-12-01,49
2018-12-02,34
2018-12-03,165
2018-12-04,130
2018-12-05,130
2018-12-06,125
2018-12-07,104
2018-12-08,44
2018-12-09,33
2018-12-10,143
2018-12-11,135
2018-12-12,150
2018-12-13,108
2018-12-14,114
2018-12-15,70
2018-12-16,25
2018-12-17,121
2018-12-18,112
2018-12-19,133
2018-12-20,74
2018-12-21,82
2018-12-22,35
2018-12-23,43
2018-12-24,28
2018-12-25,36
2018-12-26,73
2018-12-27,82
2018-12-28,33
2018-12-29,43
2018-12-30,40
2018-12-31,41
2019-01-01,36
2019-01-02,133
2019-01-03,106
2019-01-04,117
2019-01-05,31
2019-01-06,50
2019-01-07,122
2019-01-08,109
