starttime,TotalRent_A
2018-01-01,13.0
2018-01-02,61.0
2018-01-03,51.0
2018-01-04,3.0
2018-01-05,9.0
2018-01-06,4.0
2018-01-07,10.0
2018-01-08,40.0
2018-01-09,56.0
2018-01-10,72.0
2018-01-11,86.0
2018-01-12,67.0
2018-01-13,16.0
2018-01-14,28.0
2018-01-15,41.0
2018-01-16,63.0
2018-01-17,80.0
2018-01-18,72.0
2018-01-19,83.0
2018-01-20,50.0
2018-01-21,44.0
2018-01-22,90.0
2018-01-23,78.0
2018-01-24,99.0
2018-01-25,92.0
2018-01-26,89.0
2018-01-27,50.0
2018-01-28,26.0
2018-01-29,103.0
2018-01-30,71.0
2018-01-31,69.0
2018-02-01,82.0
2018-02-02,67.0
2018-02-03,28.0
2018-02-04,33.0
2018-02-05,88.0
2018-02-06,94.0
2018-02-07,52.0
2018-02-08,93.0
2018-02-09,96.0
2018-02-10,25.0
2018-02-11,16.0
2018-02-12,108.0
2018-02-13,103.0
2018-02-14,95.0
2018-02-15,116.0
2018-02-16,75.0
2018-02-17,37.0
2018-02-18,30.0
2018-02-19,43.0
2018-02-20,111.0
2018-02-21,131.0
2018-02-22,69.0
2018-02-23,74.0
2018-02-24,32.0
2018-02-25,23.0
2018-02-26,122.0
2018-02-27,115.0
2018-02-28,116.0
2018-03-01,128.0
2018-03-02,15.0
2018-03-03,31.0
2018-03-04,34.0
2018-03-05,109.0
2018-03-06,102.0
2018-03-07,4.0
2018-03-08,40.0
2018-03-09,73.0
2018-03-10,36.0
2018-03-11,35.0
2018-03-12,113.0
2018-03-13,99.0
2018-03-14,108.0
2018-03-15,99.0
2018-03-16,81.0
2018-03-17,37.0
2018-03-18,47.0
2018-03-19,126.0
2018-03-20,73.0
2018-03-21,3.0
2018-03-22,42.0
2018-03-23,121.0
2018-03-24,49.0
2018-03-25,30.0
2018-03-26,126.0
2018-03-27,118.0
2018-03-28,106.0
2018-03-29,124.0
2018-03-30,73.0
2018-03-31,57.0
2018-04-01,41.0
2018-04-02,79.0
2018-04-03,67.0
2018-04-04,94.0
2018-04-05,96.0
2018-04-06,93.0
2018-04-07,57.0
2018-04-08,44.0
2018-04-09,103.0
2018-04-10,131.0
2018-04-11,121.0
2018-04-12,130.0
2018-04-13,116.0
2018-04-14,90.0
2018-04-15,35.0
2018-04-16,91.0
2018-04-17,124.0
2018-04-18,117.0
2018-04-19,113.0
2018-04-20,109.0
2018-04-21,86.0
2018-04-22,97.0
2018-04-23,150.0
2018-04-24,126.0
2018-04-25,97.0
2018-04-26,149.0
2018-04-27,107.0
2018-04-28,48.0
2018-04-29,71.0
2018-04-30,94.0
2018-05-01,149.0
2018-05-02,158.0
2018-05-03,147.0
2018-05-04,137.0
2018-05-05,78.0
2018-05-06,76.0
2018-05-07,156.0
2018-05-08,160.0
2018-05-09,145.0
2018-05-10,130.0
2018-05-11,135.0
2018-05-12,60.0
2018-05-13,37.0
2018-05-14,136.0
2018-05-15,106.0
2018-05-16,67.0
2018-05-17,112.0
2018-05-18,138.0
2018-05-19,25.0
2018-05-20,77.0
2018-05-21,153.0
2018-05-22,114.0
2018-05-23,168.0
2018-05-24,152.0
2018-05-25,150.0
2018-05-26,66.0
2018-05-27,42.0
2018-05-28,62.0
2018-05-29,148.0
2018-05-30,186.0
2018-05-31,151.0
2018-06-01,140.0
2018-06-02,71.0
2018-06-03,106.0
2018-06-04,158.0
2018-06-05,187.0
2018-06-06,195.0
2018-06-07,168.0
2018-06-08,161.0
2018-06-09,77.0
2018-06-10,72.0
2018-06-11,181.0
2018-06-12,181.0
2018-06-13,172.0
2018-06-14,183.0
2018-06-15,152.0
2018-06-16,96.0
2018-06-17,88.0
2018-06-18,155.0
2018-06-19,198.0
2018-06-20,173.0
2018-06-21,173.0
2018-06-22,159.0
2018-06-23,90.0
2018-06-24,89.0
2018-06-25,188.0
2018-06-26,204.0
2018-06-27,170.0
2018-06-28,146.0
2018-06-29,153.0
2018-06-30,89.0
2018-07-01,16.0
2018-07-02,208.0
2018-07-03,127.0
2018-07-04,81.0
2018-07-05,146.0
2018-07-06,139.0
2018-07-07,89.0
2018-07-08,81.0
2018-07-09,211.0
2018-07-10,183.0
2018-07-11,186.0
2018-07-12,178.0
2018-07-13,180.0
2018-07-14,94.0
2018-07-15,95.0
2018-07-16,187.0
2018-07-17,124.0
2018-07-18,177.0
2018-07-19,186.0
2018-07-20,180.0
2018-07-21,105.0
2018-07-22,67.0
2018-07-23,158.0
2018-07-24,183.0
2018-07-25,118.0
2018-07-26,201.0
2018-07-27,108.0
2018-07-28,78.0
2018-07-29,82.0
2018-07-30,197.0
2018-07-31,190.0
2018-08-01,197.0
2018-08-02,190.0
2018-08-03,170.0
2018-08-04,72.0
2018-08-05,96.0
2018-08-06,207.0
2018-08-07,185.0
2018-08-08,157.0
2018-08-09,199.0
2018-08-10,167.0
2018-08-11,55.0
2018-08-12,88.0
2018-08-13,167.0
2018-08-14,187.0
2018-08-15,210.0
2018-08-16,190.0
2018-08-17,162.0
2018-08-18,76.0
2018-08-19,70.0
2018-08-20,197.0
2018-08-21,196.0
2018-08-22,193.0
2018-08-23,181.0
2018-08-24,158.0
2018-08-25,105.0
2018-08-26,79.0
2018-08-27,180.0
2018-08-28,195.0
2018-08-29,180.0
2018-08-30,182.0
2018-08-31,115.0
2018-09-01,74.0
2018-09-02,74.0
2018-09-03,97.0
2018-09-04,167.0
2018-09-05,192.0
2018-09-06,184.0
2018-09-07,196.0
2018-09-08,73.0
2018-09-09,32.0
2018-09-10,115.0
2018-09-11,186.0
2018-09-12,144.0
2018-09-13,184.0
2018-09-14,180.0
2018-09-15,107.0
2018-09-16,101.0
2018-09-17,207.0
2018-09-18,160.0
2018-09-19,223.0
2018-09-20,204.0
2018-09-21,194.0
2018-09-22,94.0
2018-09-23,88.0
2018-09-24,208.0
2018-09-25,76.0
2018-09-26,245.0
2018-09-27,199.0
2018-09-28,160.0
2018-09-29,93.0
2018-09-30,112.0
2018-10-01,168.0
2018-10-02,209.0
2018-10-03,208.0
2018-10-04,215.0
2018-10-05,182.0
2018-10-06,75.0
2018-10-07,89.0
2018-10-08,168.0
2018-10-09,223.0
2018-10-10,211.0
2018-10-11,120.0
2018-10-12,193.0
2018-10-13,80.0
2018-10-14,68.0
2018-10-15,169.0
2018-10-16,208.0
2018-10-17,200.0
2018-10-18,185.0
2018-10-19,179.0
2018-10-20,91.0
