stoptime,TotalRent_R
2018-01-01,12
2018-01-02,60
2018-01-03,81
2018-01-04,11
2018-01-05,17
2018-01-06,7
2018-01-07,9
2018-01-08,47
2018-01-09,60
2018-01-10,81
2018-01-11,83
2018-01-12,77
2018-01-13,39
2018-01-14,17
2018-01-15,41
2018-01-16,89
2018-01-17,67
2018-01-18,87
2018-01-19,92
2018-01-20,56
2018-01-21,38
2018-01-22,98
2018-01-23,76
2018-01-24,90
2018-01-25,102
2018-01-26,105
2018-01-27,53
2018-01-28,30
2018-01-29,122
2018-01-30,77
2018-01-31,92
2018-02-01,102
2018-02-02,100
2018-02-03,37
2018-02-04,33
2018-02-05,106
2018-02-06,89
2018-02-07,66
2018-02-08,105
2018-02-09,106
2018-02-10,34
2018-02-11,18
2018-02-12,129
2018-02-13,88
2018-02-14,111
2018-02-15,124
2018-02-16,100
2018-02-17,38
2018-02-18,40
2018-02-19,56
2018-02-20,109
2018-02-21,113
2018-02-22,94
2018-02-23,86
2018-02-24,53
2018-02-25,27
2018-02-26,131
2018-02-27,109
2018-02-28,126
2018-03-01,115
2018-03-02,21
2018-03-03,41
2018-03-04,39
2018-03-05,152
2018-03-06,120
2018-03-07,42
2018-03-08,45
2018-03-09,94
2018-03-10,46
2018-03-11,43
2018-03-12,122
2018-03-13,70
2018-03-14,120
2018-03-15,106
2018-03-16,108
2018-03-17,59
2018-03-18,44
2018-03-19,118
2018-03-20,114
2018-03-21,33
2018-03-22,5
2018-03-23,126
2018-03-24,75
2018-03-25,32
2018-03-26,115
2018-03-27,110
2018-03-28,123
2018-03-29,140
2018-03-30,107
2018-03-31,77
2018-04-01,47
2018-04-02,41
2018-04-03,90
2018-04-04,108
2018-04-05,135
2018-04-06,101
2018-04-07,87
2018-04-08,49
2018-04-09,135
2018-04-10,137
2018-04-11,147
2018-04-12,135
2018-04-13,136
2018-04-14,114
2018-04-15,47
2018-04-16,42
2018-04-17,118
2018-04-18,163
2018-04-19,137
2018-04-20,149
2018-04-21,108
2018-04-22,104
2018-04-23,160
2018-04-24,187
2018-04-25,94
2018-04-26,177
2018-04-27,137
2018-04-28,90
2018-04-29,73
2018-04-30,142
2018-05-01,205
2018-05-02,195
2018-05-03,219
2018-05-04,199
2018-05-05,112
2018-05-06,88
2018-05-07,215
2018-05-08,217
2018-05-09,229
2018-05-10,190
2018-05-11,213
2018-05-12,63
2018-05-13,56
2018-05-14,192
2018-05-15,174
2018-05-16,153
2018-05-17,133
2018-05-18,175
2018-05-19,39
2018-05-20,85
2018-05-21,181
2018-05-22,178
2018-05-23,217
2018-05-24,226
2018-05-25,201
2018-05-26,97
2018-05-27,48
2018-05-28,85
2018-05-29,180
2018-05-30,204
2018-05-31,204
2018-06-01,165
2018-06-02,94
2018-06-03,97
2018-06-04,165
2018-06-05,200
2018-06-06,230
2018-06-07,204
2018-06-08,217
2018-06-09,105
2018-06-10,71
2018-06-11,227
2018-06-12,238
2018-06-13,217
2018-06-14,217
2018-06-15,202
2018-06-16,116
2018-06-17,93
2018-06-18,203
2018-06-19,237
2018-06-20,218
2018-06-21,211
2018-06-22,234
2018-06-23,117
2018-06-24,86
2018-06-25,245
2018-06-26,259
2018-06-27,223
2018-06-28,119
2018-06-29,230
2018-06-30,97
2018-07-01,25
2018-07-02,218
2018-07-03,190
2018-07-04,111
2018-07-05,178
2018-07-06,155
