time,avg_temp_C°,precipitation_mm,windspeed_km/h
2017-01-01,7.9,0.0,9.8
2017-01-02,4.9,7.4,20.3
2017-01-03,5.8,10.9,26.9
2017-01-04,7.1,0.0,19.5
2017-01-05,-0.1,0.0,22.0
2017-01-06,-0.1,1.5,9.8
2017-01-07,-3.3,8.1,12.9
2017-01-08,-4.8,0.0,8.8
2017-01-09,-6.1,0.0,13.5
2017-01-10,-0.3,0.0,9.8
2017-01-11,7.8,14.5,11.3
2017-01-12,13.5,2.3,15.9
2017-01-13,8.9,0.0,9.0
2017-01-14,0.2,2.5,10.1
2017-01-15,2.0,0.0,9.7
2017-01-16,3.1,0.0,8.5
2017-01-17,4.3,13.5,13.2
2017-01-18,4.6,1.0,15.1
2017-01-19,5.9,0.0,10.8
2017-01-20,5.7,3.6,7.3
2017-01-21,6.8,0.0,10.3
2017-01-22,7.4,0.0,14.9
2017-01-23,6.3,31.5,35.6
2017-01-24,3.9,19.8,15.2
2017-01-25,7.1,0.0,8.3
2017-01-26,8.6,0.8,21.2
2017-01-27,5.6,0.0,30.2
2017-01-28,2.8,0.0,23.0
2017-01-29,3.9,0.0,14.4
2017-01-30,2.2,0.0,9.0
2017-01-31,-0.4,0.8,9.2
2017-02-01,5.1,0.0,15.4
2017-02-02,4.1,0.0,11.4
2017-02-03,-0.3,0.0,10.3
2017-02-04,-1.1,0.0,14.1
2017-02-05,2.8,0.0,17.9
2017-02-06,5.9,0.0,8.9
2017-02-07,4.4,6.9,16.9
2017-02-08,9.0,1.0,8.5
2017-02-09,-0.5,20.6,13.8
2017-02-10,-2.6,0.0,18.8
2017-02-11,4.1,0.0,7.7
2017-02-12,2.0,10.9,17.2
2017-02-13,2.4,0.0,10.3
2017-02-14,1.9,0.0,10.2
2017-02-15,4.2,0.0,5.7
2017-02-16,1.6,0.0,7.5
2017-02-17,2.2,0.0,9.2
2017-02-18,9.0,0.0,10.4
2017-02-19,14.3,0.0,8.2
2017-02-20,9.8,0.0,9.5
2017-02-21,4.1,0.0,11.5
2017-02-22,7.8,0.0,7.6
2017-02-23,12.0,0.0,6.8
2017-02-24,15.8,0.0,7.9
2017-02-25,12.7,13.7,9.4
2017-02-26,5.4,0.0,11.4
2017-02-27,6.6,0.0,12.8
2017-02-28,10.5,0.0,6.5
2017-03-01,15.2,4.1,13.2
2017-03-02,9.3,0.0,16.6
2017-03-03,1.8,0.0,11.2
2017-03-04,-2.8,0.0,9.4
2017-03-05,-2.1,0.0,7.0
2017-03-06,2.7,0.0,8.5
2017-03-07,8.4,2.3,7.2
2017-03-08,12.8,0.0,19.1
2017-03-09,13.0,0.0,16.4
2017-03-10,3.6,6.6,11.7
2017-03-11,-3.1,0.0,9.0
2017-03-12,-3.5,0.0,25.2
2017-03-13,-1.4,0.0,9.4
2017-03-14,-0.5,29.2,22.8
2017-03-15,-3.3,0.0,14.2
2017-03-16,0.6,0.0,13.6
2017-03-17,3.3,0.0,12.5
2017-03-18,2.8,1.3,19.2
2017-03-19,5.6,0.0,16.9
2017-03-20,6.8,0.0,8.2
2017-03-21,10.1,0.0,8.8
2017-03-22,4.1,0.0,7.0
2017-03-23,1.4,0.0,10.7
